DATE,DAY OF THE WEEK,BUISNESS UNIT,REVENUE,VOLUME,SPEND PER PERSON
01/01/2025,Wednesday,Juntos house,"8,013.54",95,84.35
01/01/2025,Wednesday,Juntos boutique,725.00,10,72.50
01/01/2025,Wednesday,Picadeli,0.00,0,0.00
01/01/2025,Wednesday,Juntos farm shop,0.00,0,0.00
01/01/2025,Wednesday,Tasting place,0.00,0,0.00
01/01/2025,Wednesday,Distribution b2b,0.00,0,0.00
01/01/2025,Wednesday,Activities,0.00,0,0.00
01/01/2025,Wednesday,Juntos Products,0.00,0,0.00
02/01/2025,Thursday,Juntos house,0.00,0.00,0.00
02/01/2025,Thursday,Juntos boutique,0.00,0.00,0.00
02/01/2025,Thursday,Picadeli,0.00,0.00,0.00
02/01/2025,Thursday,Juntos farm shop,0.00,0.00,0.00
02/01/2025,Thursday,Tasting place,0.00,0.00,0.00
02/01/2025,Thursday,Distribution b2b,0.00,0.00,0.00
02/01/2025,Thursday,Activities,0.00,0.00,0.00
02/01/2025,Thursday,Juntos Products,0.00,0.00,0.00
03/01/2025,Friday,Juntos house,"11,992.20",143,83.86
03/01/2025,Friday,Juntos boutique,551.93,9,61.33
03/01/2025,Friday,Picadeli,"2,245.56",140,16.04
03/01/2025,Friday,Juntos farm shop,247.35,19,13.02
03/01/2025,Friday,Tasting place,216.00,15,14.40
03/01/2025,Friday,Distribution b2b,940.57,10,94.06
03/01/2025,Friday,Activities,0.00,0,0.00
03/01/2025,Friday,Juntos Products,24.00,0,0.00
04/01/2025,Saturday,Juntos house,"9,458.05",127,74.47
04/01/2025,Saturday,Juntos boutique,729.98,7,104.28
04/01/2025,Saturday,Picadeli,"2,494.64",115,21.69
04/01/2025,Saturday,Juntos farm shop,"1,359.16",63,21.57
04/01/2025,Saturday,Tasting place,"4,418.60",83,53.24
04/01/2025,Saturday,Distribution b2b,0.00,0,0.00
04/01/2025,Saturday,Activities,65.00,0,0.00
04/01/2025,Saturday,Juntos Products,26.00,0,0.00
05/01/2025,Sunday,Juntos house,"7,562.00",95,79.60
05/01/2025,Sunday,Juntos boutique,146.37,4,36.59
05/01/2025,Sunday,Picadeli,0.00,0,0.00
05/01/2025,Sunday,Juntos farm shop,0.00,0,0.00
05/01/2025,Sunday,Tasting place,0.00,0,0.00
05/01/2025,Sunday,Distribution b2b,0.00,0,0.00
05/01/2025,Sunday,Activities,0.00,0,0.00
05/01/2025,Sunday,Juntos Products,26.00,0,0.00
06/01/2025,Monday,Juntos house,"2,314.60",35,66.13
06/01/2025,Monday,Juntos boutique,48.00,1,48.00
06/01/2025,Monday,Picadeli,0.00,0,0.00
06/01/2025,Monday,Juntos farm shop,0.00,0,0.00
06/01/2025,Monday,Tasting place,0.00,0,0.00
06/01/2025,Monday,Distribution b2b,0.00,0,0.00
06/01/2025,Monday,Activities,0.00,0,0.00
06/01/2025,Monday,Juntos Products,0.00,0,0.00
07/01/2025,Tuesday,Juntos house,0.00,0,0.00
07/01/2025,Tuesday,Juntos boutique,0.00,0,0.00
07/01/2025,Tuesday,Picadeli,"2,986.70",137,21.80
07/01/2025,Tuesday,Juntos farm shop,358.82,14,25.63
07/01/2025,Tuesday,Tasting place,100.00,11,9.09
07/01/2025,Tuesday,Distribution b2b,599.89,9,66.65
07/01/2025,Tuesday,Activities,0.00,0,0.00
07/01/2025,Tuesday,Juntos Products,0.00,0,0.00
08/01/2025,Wednesday,Juntos house,0.00,0.00,0.00
08/01/2025,Wednesday,Juntos boutique,0.00,0.00,0.00
08/01/2025,Wednesday,Picadeli,0.00,0.00,0.00
08/01/2025,Wednesday,Juntos farm shop,0.00,0.00,0.00
08/01/2025,Wednesday,Tasting place,0.00,0.00,0.00
08/01/2025,Wednesday,Distribution b2b,0.00,0.00,0.00
08/01/2025,Wednesday,Activities,0.00,0.00,0.00
08/01/2025,Wednesday,Juntos Products,"1,579.47",0,0.00
09/01/2025,Thursday,Juntos house,0.00,0,0.00
09/01/2025,Thursday,Juntos boutique,0.00,0,0.00
09/01/2025,Thursday,Picadeli,"2,778.04",167,16.63
09/01/2025,Thursday,Juntos farm shop,337.61,19,17.77
09/01/2025,Thursday,Tasting place,206.00,22,9.36
09/01/2025,Thursday,Distribution b2b,465.00,6,77.50
09/01/2025,Thursday,Activities,0.00,0,0.00
09/01/2025,Thursday,Juntos Products,0.00,0,0.00
10/01/2025,Friday,Juntos house,0.00,0,0.00
10/01/2025,Friday,Juntos boutique,0.00,0,0.00
10/01/2025,Friday,Picadeli,"2,307.61",140,16.48
10/01/2025,Friday,Juntos farm shop,251.49,13,19.35
10/01/2025,Friday,Tasting place,160.00,11,14.55
10/01/2025,Friday,Distribution b2b,358.88,6,59.81
10/01/2025,Friday,Activities,0.00,0,0.00
10/01/2025,Friday,Juntos Products,0.00,0,0.00
11/01/2025,Saturday,Juntos house,0.00,0,0.00
11/01/2025,Saturday,Juntos boutique,0.00,0,0.00
11/01/2025,Saturday,Picadeli,"2,127.96",107,19.89
11/01/2025,Saturday,Juntos farm shop,857.70,46,18.65
11/01/2025,Saturday,Tasting place,"2,544.60",92,27.66
11/01/2025,Saturday,Distribution b2b,0.00,0,0.00
11/01/2025,Saturday,Activities,0.00,0,0.00
11/01/2025,Saturday,Juntos Products,0.00,0,0.00
12/01/2025,Sunday,Juntos house,0.00,0,0.00
12/01/2025,Sunday,Juntos boutique,0.00,0,0.00
12/01/2025,Sunday,Picadeli,0.00,0,0.00
12/01/2025,Sunday,Juntos farm shop,0.00,0,0.00
12/01/2025,Sunday,Tasting place,0.00,0,0.00
12/01/2025,Sunday,Distribution b2b,0.00,0,0.00
12/01/2025,Sunday,Activities,0.00,0,0.00
12/01/2025,Sunday,Juntos Products,0.00,0,0.00
13/01/2025,Monday,Juntos house,0.00,0,0.00
13/01/2025,Monday,Juntos boutique,0.00,0,0.00
13/01/2025,Monday,Picadeli,"3,113.44",164,18.98
13/01/2025,Monday,Juntos farm shop,0.00,0,0.00
13/01/2025,Monday,Tasting place,0.00,0,0.00
13/01/2025,Monday,Distribution b2b,573.35,7,81.91
13/01/2025,Monday,Activities,0.00,0,0.00
13/01/2025,Monday,Juntos Products,699.23,0,0.00
14/01/2025,Tuesday,Juntos house,0.00,0,0.00
14/01/2025,Tuesday,Juntos boutique,0.00,0,0.00
14/01/2025,Tuesday,Picadeli,"2,812.57",156,18.03
14/01/2025,Tuesday,Juntos farm shop,236.27,10,23.63
14/01/2025,Tuesday,Tasting place,193.60,15,12.91
14/01/2025,Tuesday,Distribution b2b,493.72,7,70.53
14/01/2025,Tuesday,Activities,0.00,0,0.00
14/01/2025,Tuesday,Juntos Products,0.00,0,0.00
15/01/2025,Wednesday,Juntos house,"1,870.00",28,66.79
15/01/2025,Wednesday,Juntos boutique,292.00,2,146.00
15/01/2025,Wednesday,Picadeli,"2,565.26",155,16.55
15/01/2025,Wednesday,Juntos farm shop,207.44,13,15.96
15/01/2025,Wednesday,Tasting place,258.00,18,14.33
15/01/2025,Wednesday,Distribution b2b,635.87,6,105.98
15/01/2025,Wednesday,Activities,0.00,0,0.00
15/01/2025,Wednesday,Juntos Products,0.00,0,0.00
16/01/2025,Thursday,Juntos house,"1,156.00",18,64.22
16/01/2025,Thursday,Juntos boutique,55.41,2,27.71
16/01/2025,Thursday,Picadeli,"2,895.37",173,16.74
16/01/2025,Thursday,Juntos farm shop,351.92,19,18.52
16/01/2025,Thursday,Tasting place,375.80,32,11.74
16/01/2025,Thursday,Distribution b2b,281.42,5,56.28
16/01/2025,Thursday,Activities,0.00,0,0.00
16/01/2025,Thursday,Juntos Products,0.00,0,0.00
17/01/2025,Friday,Juntos house,"1,821.10",25,72.84
17/01/2025,Friday,Juntos boutique,57.60,2,28.80
17/01/2025,Friday,Picadeli,"2,598.97",155,16.77
17/01/2025,Friday,Juntos farm shop,333.19,12,27.77
17/01/2025,Friday,Tasting place,157.00,14,11.21
17/01/2025,Friday,Distribution b2b,549.10,8,68.64
17/01/2025,Friday,Activities,0.00,0,0.00
17/01/2025,Friday,Juntos Products,0.00,0,0.00
18/01/2025,Saturday,Juntos house,"3,241.35",48,67.53
18/01/2025,Saturday,Juntos boutique,156.94,5,31.39
18/01/2025,Saturday,Picadeli,"1,847.93",106,17.43
18/01/2025,Saturday,Juntos farm shop,"1,207.36",51,23.67
18/01/2025,Saturday,Tasting place,"3,298.77",74,44.58
18/01/2025,Saturday,Distribution b2b,0.00,0,0.00
18/01/2025,Saturday,Activities,22.00,0,0.00
18/01/2025,Saturday,Juntos Products,24.00,0,0.00
19/01/2025,Sunday,Juntos house,"2,541.00",34,74.74
19/01/2025,Sunday,Juntos boutique,495.29,7,70.76
19/01/2025,Sunday,Picadeli,0.00,0,0.00
19/01/2025,Sunday,Juntos farm shop,0.00,0,0.00
19/01/2025,Sunday,Tasting place,0.00,0,0.00
19/01/2025,Sunday,Distribution b2b,0.00,0,0.00
19/01/2025,Sunday,Activities,0.00,0,0.00
19/01/2025,Sunday,Juntos Products,0.00,0,0.00
20/01/2025,Monday,Juntos house,0.00,0,0.00
20/01/2025,Monday,Juntos boutique,0.00,0,0.00
20/01/2025,Monday,Picadeli,"4,164.28",174,23.93
20/01/2025,Monday,Juntos farm shop,0.00,0,0.00
20/01/2025,Monday,Tasting place,0.00,0,0.00
20/01/2025,Monday,Distribution b2b,579.95,6,96.66
20/01/2025,Monday,Activities,0.00,0,0.00
20/01/2025,Monday,Juntos Products,138.00,0,0.00
21/01/2025,Tuesday,Juntos house,0.00,0,0.00
21/01/2025,Tuesday,Juntos boutique,0.00,0,0.00
21/01/2025,Tuesday,Picadeli,"2,393.41",159,15.05
21/01/2025,Tuesday,Juntos farm shop,238.81,12,19.90
21/01/2025,Tuesday,Tasting place,202.00,16,12.63
21/01/2025,Tuesday,Distribution b2b,482.35,6,80.39
21/01/2025,Tuesday,Activities,0.00,0,0.00
21/01/2025,Tuesday,Juntos Products,0.00,0,0.00
22/01/2025,Wednesday,Juntos house,"2,517.50",30,83.92
22/01/2025,Wednesday,Juntos boutique,0.00,0,0.00
22/01/2025,Wednesday,Picadeli,"2,604.56",144,18.09
22/01/2025,Wednesday,Juntos farm shop,123.26,7,17.61
22/01/2025,Wednesday,Tasting place,137.40,14,9.81
22/01/2025,Wednesday,Distribution b2b,348.49,5,69.70
22/01/2025,Wednesday,Activities,0.00,0,0.00
22/01/2025,Wednesday,Juntos Products,0.00,0,0.00
23/01/2025,Thursday,Juntos house,"1,173.80",17,69.05
23/01/2025,Thursday,Juntos boutique,0.00,0,0.00
23/01/2025,Thursday,Picadeli,"2,010.49",140,14.36
23/01/2025,Thursday,Juntos farm shop,470.91,25,18.84
23/01/2025,Thursday,Tasting place,262.80,32,8.21
23/01/2025,Thursday,Distribution b2b,413.56,6,68.93
23/01/2025,Thursday,Activities,0.00,0,0.00
23/01/2025,Thursday,Juntos Products,0.00,0,0.00
24/01/2025,Friday,Juntos house,"2,564.57",36,71.24
24/01/2025,Friday,Juntos boutique,87.94,2,43.97
24/01/2025,Friday,Picadeli,"3,304.05",172,19.21
24/01/2025,Friday,Juntos farm shop,103.97,8,13.00
24/01/2025,Friday,Tasting place,230.00,16,14.38
24/01/2025,Friday,Distribution b2b,516.36,9,57.37
24/01/2025,Friday,Activities,0.00,0,0.00
24/01/2025,Friday,Juntos Products,0.00,0,0.00
25/01/2025,Saturday,Juntos house,"5,536.11",82,67.51
25/01/2025,Saturday,Juntos boutique,413.88,4,103.47
25/01/2025,Saturday,Picadeli,"1,704.01",93,18.32
25/01/2025,Saturday,Juntos farm shop,"1,500.36",75,20.00
25/01/2025,Saturday,Tasting place,"5,132.36",123,41.73
25/01/2025,Saturday,Distribution b2b,0.00,0,0.00
25/01/2025,Saturday,Activities,225.00,0,0.00
25/01/2025,Saturday,Juntos Products,0.00,0,0.00
26/01/2025,Sunday,Juntos house,"4,721.37",61,77.40
26/01/2025,Sunday,Juntos boutique,393.30,8,49.16
26/01/2025,Sunday,Picadeli,0.00,0,0.00
26/01/2025,Sunday,Juntos farm shop,0.00,0,0.00
26/01/2025,Sunday,Tasting place,0.00,0,0.00
