,,,,,,,,,,,dia,BU,
SIN IVA,Año Fecha,Mes Fecha,Fecha,Serie,Área de Negocio,Centro de coste,Uds.,Importe,BU,,,,Total Día
,2024,01  Enero,1/1/2024,AT1T,Factura simplificada AT1T,,26.00,653.88 €,Juntos house,,1/1/2024,Distribution b2b,199
,2024,01  Enero,1/1/2024,FVA,ALBARANES DE VENTA,,30.60,199.13 €,Distribution b2b,,1/1/2024,Juntos house,5486
,2024,01  Enero,1/1/2024,AR3G,Tiquet AR3G,,577.00,"4,831.64 €",Juntos house,,1/2/2024,Distribution b2b,464
,2024,01  Enero,1/2/2024,AR3I,Invitaciones AR3I,,4.00,0.00 €,Juntos house,,1/2/2024,Juntos house,5436
,2024,01  Enero,1/2/2024,FVA,ALBARANES DE VENTA,,112.57,464.10 €,Distribution b2b,,1/3/2024,Distribution b2b,335
,2024,01  Enero,1/2/2024,AR3G,Tiquet AR3G,,364.50,"5,050.82 €",Juntos house,,1/3/2024,Juntos house,8366
,2024,01  Enero,1/2/2024,AT1T,Factura simplificada AT1T,,13.00,385.54 €,Juntos house,,1/4/2024,Distribution b2b,764
,2024,01  Enero,1/3/2024,AR3G,Tiquet AR3G,,529.00,"7,417.55 €",Juntos house,,1/4/2024,Juntos Products,135
,2024,01  Enero,1/3/2024,AT1T,Factura simplificada AT1T,,45.00,948.10 €,Juntos house,,1/4/2024,Juntos house,7351
,2024,01  Enero,1/3/2024,FVA,ALBARANES DE VENTA,,80.95,335.04 €,Distribution b2b,,1/5/2024,Distribution b2b,591
,2024,01  Enero,1/4/2024,JVA,ALBARANES DE VENTA,,7.00,135.00 €,Juntos Products,,1/5/2024,Juntos house,6806
,2024,01  Enero,1/4/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,11.00,48.80 €,Distribution b2b,,1/6/2024,Juntos house,7250
,2024,01  Enero,1/4/2024,AT1T,Factura simplificada AT1T,,27.00,596.69 €,Juntos house,,1/7/2024,Juntos house,5319
,2024,01  Enero,1/4/2024,FVA,ALBARANES DE VENTA,,179.70,714.91 €,Distribution b2b,,1/8/2024,Distribution b2b,77
,2024,01  Enero,1/4/2024,AR3G,Tiquet AR3G,,528.00,"6,754.36 €",Juntos house,,1/8/2024,Juntos Products,92
,2024,01  Enero,1/5/2024,FVJ,FACTURA DE VENTA JUNTOS,,7.90,20.54 €,Distribution b2b,,1/9/2024,Distribution b2b,605
,2024,01  Enero,1/5/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,12.00,58.18 €,Distribution b2b,,1/10/2024,Distribution b2b,296
,2024,01  Enero,1/5/2024,AT1T,Factura simplificada AT1T,,32.00,692.98 €,Juntos house,,1/10/2024,Juntos house,91
,2024,01  Enero,1/5/2024,FVA,ALBARANES DE VENTA,,120.20,512.32 €,Distribution b2b,,1/11/2024,Distribution b2b,204
,2024,01  Enero,1/5/2024,AR3G,Tiquet AR3G,,443.00,"6,112.55 €",Juntos house,,1/11/2024,Juntos Products,137
,2024,01  Enero,1/6/2024,AR3X,Abono tiquet AR3X,,-25.00,-297.64 €,Juntos house,,1/12/2024,Distribution b2b,456
,2024,01  Enero,1/6/2024,AR3F,Factura AR3F,,26.00,297.64 €,Juntos house,,1/12/2024,Juntos Products,164
,2024,01  Enero,1/6/2024,AR3G,Tiquet AR3G,,468.00,"6,219.00 €",Juntos house,,1/12/2024,Juntos house,136
,2024,01  Enero,1/6/2024,AT1T,Factura simplificada AT1T,,93.00,"1,031.16 €",Juntos house,,1/13/2024,Juntos house,4618
,2024,01  Enero,1/7/2024,AT1T,Factura simplificada AT1T,,20.00,645.37 €,Juntos house,,1/14/2024,Juntos house,4675
,2024,01  Enero,1/7/2024,AR3I,Invitaciones AR3I,,2.00,0.00 €,Juntos house,,1/15/2024,Distribution b2b,350
,2024,01  Enero,1/7/2024,AR3G,Tiquet AR3G,,319.00,"4,674.09 €",Juntos house,,1/16/2024,Distribution b2b,814
,2024,01  Enero,1/8/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,2.00,6.00 €,Distribution b2b,,1/17/2024,Distribution b2b,73
,2024,01  Enero,1/8/2024,FVA,ALBARANES DE VENTA,,22.90,70.57 €,Distribution b2b,,1/17/2024,Juntos Products,85
,2024,01  Enero,1/8/2024,JVF,FACTURAS DE VENTA,,2.00,92.02 €,Juntos Products,,1/17/2024,Juntos house,1963
,2024,01  Enero,1/9/2024,FVA,ALBARANES DE VENTA,,168.40,604.59 €,Distribution b2b,,1/18/2024,Distribution b2b,377
,2024,01  Enero,1/10/2024,AVF,FACTURAS DE VENTA,,1.00,90.91 €,Juntos house,,1/18/2024,Juntos house,1127
,2024,01  Enero,1/10/2024,FVA,ALBARANES DE VENTA,,14.80,46.69 €,Distribution b2b,,1/19/2024,Distribution b2b,621
,2024,01  Enero,1/10/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,10.35,249.04 €,Distribution b2b,,1/19/2024,Juntos house,2757
,2024,01  Enero,1/11/2024,FVA,ALBARANES DE VENTA,,46.10,168.69 €,Distribution b2b,,1/20/2024,Juntos house,4822
,2024,01  Enero,1/11/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,13.00,35.00 €,Distribution b2b,,1/21/2024,Juntos house,4766
,2024,01  Enero,1/11/2024,JVA,ALBARANES DE VENTA,,3.00,136.86 €,Juntos Products,,1/22/2024,Distribution b2b,109
,2024,01  Enero,1/12/2024,FVA,ALBARANES DE VENTA,,103.60,456.33 €,Distribution b2b,,1/23/2024,Distribution b2b,441
,2024,01  Enero,1/12/2024,JVA,ALBARANES DE VENTA,,4.00,164.00 €,Juntos Products,,1/23/2024,Juntos Products,137
,2024,01  Enero,1/12/2024,AVF,FACTURAS DE VENTA,,1.00,136.36 €,Juntos house,,1/23/2024,Juntos house,182
,2024,01  Enero,1/13/2024,AR3G,Tiquet AR3G,,321.00,"4,114.45 €",Juntos house,,1/24/2024,Distribution b2b,278
,2024,01  Enero,1/13/2024,AR3I,Invitaciones AR3I,,4.00,0.00 €,Juntos house,,1/24/2024,Juntos house,2642
,2024,01  Enero,1/13/2024,AT1T,Factura simplificada AT1T,,20.00,503.64 €,Juntos house,,1/25/2024,Distribution b2b,156
,2024,01  Enero,1/14/2024,AT1T,Factura simplificada AT1T,,21.00,478.62 €,Juntos house,,1/25/2024,Juntos Products,79
,2024,01  Enero,1/14/2024,AR3G,Tiquet AR3G,,320.40,"4,196.73 €",Juntos house,,1/25/2024,Juntos house,3427
,2024,01  Enero,1/14/2024,AR3X,Abono tiquet AR3X,,-13.00,-151.36 €,Juntos house,,1/26/2024,Distribution b2b,584
,2024,01  Enero,1/14/2024,AR3F,Factura AR3F,,14.00,151.36 €,Juntos house,,1/26/2024,Juntos house,1223
,2024,01  Enero,1/15/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,10.00,45.00 €,Distribution b2b,,1/27/2024,Juntos house,5262
,2024,01  Enero,1/15/2024,FVA,ALBARANES DE VENTA,,83.70,305.12 €,Distribution b2b,,1/28/2024,Distribution b2b,41
,2024,01  Enero,1/16/2024,FVA,ALBARANES DE VENTA,,201.70,814.03 €,Distribution b2b,,1/28/2024,Juntos house,5594
,2024,01  Enero,1/17/2024,AR3G,Tiquet AR3G,,125.00,"1,933.91 €",Juntos house,,1/29/2024,Distribution b2b,221
,2024,01  Enero,1/17/2024,FVA,ALBARANES DE VENTA,,15.70,55.68 €,Distribution b2b,,1/29/2024,Juntos Products,201
,2024,01  Enero,1/17/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,1.00,17.50 €,Distribution b2b,,1/30/2024,Distribution b2b,457
