old_date,DAY OF THE WEEK,business_unit,old_revenue,VOLUME,SPEND PER PERSON,date,revenue
01/01/2025,Wednesday,Juntos house,"8,013.54",95,84.35,2025-01-01,8013.54
01/01/2025,Wednesday,Juntos boutique,725.00,10,72.5,2025-01-01,725.00
01/01/2025,Wednesday,Picadeli,0.00,0,0,2025-01-01,0.00
01/01/2025,Wednesday,Juntos farm shop,0.00,0,0,2025-01-01,0.00
01/01/2025,Wednesday,Tasting place,0.00,0,0,2025-01-01,0.00
01/01/2025,Wednesday,Distribution b2b,0.00,0,0,2025-01-01,0.00
01/01/2025,Wednesday,Activities,0.00,0,0,2025-01-01,0.00
01/01/2025,Wednesday,Juntos Products,0.00,0,0,2025-01-01,0.00
01/02/2025,Saturday,Juntos house,"3,774.80",54,69.9,2025-02-01,3774.80
01/02/2025,Saturday,Juntos boutique,0.00,0,0,2025-02-01,0.00
01/02/2025,Saturday,Picadeli,"1,682.84",94,17.9,2025-02-01,1682.84
01/02/2025,Saturday,Juntos farm shop,"1,798.91",92,19.55,2025-02-01,1798.91
01/02/2025,Saturday,Tasting place,"5,777.80",153,37.76,2025-02-01,5777.80
01/02/2025,Saturday,Distribution b2b,0.00,0,0,2025-02-01,0.00
01/02/2025,Saturday,Activities,374.00,0,0,2025-02-01,374.00
01/02/2025,Saturday,Juntos Products,0.00,0,0,2025-02-01,0.00
01/03/2025,Saturday,Juntos house,"5,257.00",79,66.54,2025-03-01,5257.00
01/03/2025,Saturday,Juntos boutique,0.00,0,0,2025-03-01,0.00
01/03/2025,Saturday,Picadeli,"1,696.00",87,19.49,2025-03-01,1696.00
01/03/2025,Saturday,Juntos farm shop,645.38,52,12.41,2025-03-01,645.38
01/03/2025,Saturday,Tasting place,"1,856.50",77,24.11,2025-03-01,1856.50
01/03/2025,Saturday,Distribution b2b,0.00,0,0,2025-03-01,0.00
01/03/2025,Saturday,Activities,0.00,0,0,2025-03-01,0.00
01/03/2025,Saturday,Juntos Products,0.00,0,0,2025-03-01,0.00
01/04/2025,Tuesday,Juntos house,0.00,0,0,2025-04-01,0.00
01/04/2025,Tuesday,Juntos boutique,0.00,0,0,2025-04-01,0.00
01/04/2025,Tuesday,Picadeli,"3,462.00",209,16.56,2025-04-01,3462.00
01/04/2025,Tuesday,Juntos farm shop,598.91,27,22.18,2025-04-01,598.91
01/04/2025,Tuesday,Tasting place,321.60,22,14.62,2025-04-01,321.60
01/04/2025,Tuesday,Distribution b2b,"1,222.48",13,94.04,2025-04-01,1222.48
01/04/2025,Tuesday,Activities,0.00,0,0,2025-04-01,0.00
01/04/2025,Tuesday,Juntos Products,327.82,0,0,2025-04-01,327.82
01/05/2025,Thursday,Juntos house,"5,776.00",73,79.12,2025-05-01,5776.00
01/05/2025,Thursday,Juntos boutique,931.50,9,103.5,2025-05-01,931.50
01/05/2025,Thursday,Picadeli,"2,595.00",127,20.43,2025-05-01,2595.00
01/05/2025,Thursday,Juntos farm shop,462.47,18,25.69,2025-05-01,462.47
01/05/2025,Thursday,Tasting place,359.50,20,17.98,2025-05-01,359.50
01/05/2025,Thursday,Distribution b2b,0.00,0,0,2025-05-01,0.00
01/05/2025,Thursday,Activities,0.00,0,0,2025-05-01,0.00
01/05/2025,Thursday,Juntos Products,0.00,0,0,2025-05-01,0.00
01/06/2025,Sunday,Juntos house,"6,167.20",83,74.3,2025-06-01,6167.20
01/06/2025,Sunday,Juntos boutique,"1,206.10",14,86.15,2025-06-01,1206.10
01/06/2025,Sunday,Picadeli,0.00,0,0,2025-06-01,0.00
01/06/2025,Sunday,Juntos farm shop,0.00,0,0,2025-06-01,0.00
01/06/2025,Sunday,Tasting place,0.00,0,0,2025-06-01,0.00
01/06/2025,Sunday,Distribution b2b,0.00,0,0,2025-06-01,0.00
01/06/2025,Sunday,Activities,0.00,0,0,2025-06-01,0.00
01/06/2025,Sunday,Juntos Products,0.00,0,0,2025-06-01,0.00
01/07/2025,Tuesday,Juntos house,"6,080.40",80,76.01,2025-07-01,6080.40
01/07/2025,Tuesday,Juntos boutique,999.50,13,76.88,2025-07-01,999.50
01/07/2025,Tuesday,Picadeli,"4,144.69",183,22.65,2025-07-01,4144.69
01/07/2025,Tuesday,Juntos farm shop,"1,534.17",53,28.95,2025-07-01,1534.17
01/07/2025,Tuesday,Tasting place,"1,958.00",110,17.8,2025-07-01,1958.00
01/07/2025,Tuesday,Distribution b2b,"2,193.88",13,168.76,2025-07-01,2193.88
01/07/2025,Tuesday,Activities,0.00,0,0,2025-07-01,0.00
01/07/2025,Tuesday,Juntos Products,331.89,0,0,2025-07-01,331.89
01/08/2025,Friday,Juntos house,"10,304.20",106,97.21,2025-08-01,10304.20
01/08/2025,Friday,Juntos boutique,270.80,6,45.13,2025-08-01,270.80
01/08/2025,Friday,Picadeli,"4,169.36",154,27.07,2025-08-01,4169.36
01/08/2025,Friday,Juntos farm shop,"1,198.94",38,31.55,2025-08-01,1198.94
01/08/2025,Friday,Tasting place,"2,909.80",114,25.52,2025-08-01,2909.80
01/08/2025,Friday,Distribution b2b,"1,914.06",14,136.72,2025-08-01,1914.06
01/08/2025,Friday,Activities,0.00,0,0,2025-08-01,0.00
01/08/2025,Friday,Juntos Products,35.00,0,0,2025-08-01,35.00
01/09/2025,Monday,Juntos house,"6,650.90",87,76.45,2025-09-01,6650.90
01/09/2025,Monday,Juntos boutique,381.50,4,95.38,2025-09-01,381.50
01/09/2025,Monday,Picadeli,"3,506.80",179,19.59,2025-09-01,3506.80
01/09/2025,Monday,Juntos farm shop,0.00,0,0,2025-09-01,0.00
01/09/2025,Monday,Tasting place,0.00,0,0,2025-09-01,0.00
01/09/2025,Monday,Distribution b2b,"1,766.02",13,135.85,2025-09-01,1766.02
01/09/2025,Monday,Activities,0.00,0,0,2025-09-01,0.00
01/09/2025,Monday,Juntos Products,38.60,0,0,2025-09-01,38.60
01/10/2025,Wednesday,Juntos house,"5,478.00",63,86.95,2025-10-01,5478.00
01/10/2025,Wednesday,Juntos boutique,977.50,8,122.19,2025-10-01,977.50
01/10/2025,Wednesday,Picadeli,"4,069.16",218,18.67,2025-10-01,4069.16
01/10/2025,Wednesday,Juntos farm shop,871.69,37,23.56,2025-10-01,871.69
